id,form_group_id,input_type,name,required_flg,reservation_display_flg,description,sort_no,default_flg,smart_lock_type
1,1,1,会員権限,1,0,,1,1,
2,1,2,メールアドレス,1,1,,5,1,
3,1,3,メールアドレス（確認）,1,0,,6,1,
4,1,4,ログインID,1,0,,7,1,
5,1,5,パスワード,1,0,,8,1,
6,1,6,パスワード（確認）,1,0,,9,1,
7,2,7,利用日,1,0,,13,1,
8,2,8,利用時間,1,0,,14,1,
9,2,9,予約時間,1,0,,15,1,
10,2,10,予約数,1,0,,16,1,
11,2,11,カテゴリー,0,0,,1,1,
12,2,12,絞り込みキーワード,0,0,,2,1,
13,2,13,予約枠名,0,0,,3,1,
14,2,14,予約利用期間,0,0,,4,1,
15,2,15,実施時間,0,0,,5,1,
16,2,16,予約時間設定,0,0,,6,1,
17,2,17,インターバル,0,0,,7,1,
18,2,18,料金,0,0,,8,1,
19,2,19,予約受付締切タイミング,0,0,,9,1,
20,2,20,予約変更締切タイミング,0,0,,10,1,
21,2,21,予約キャンセル締切タイミング,0,0,,11,1,
22,1,29,氏名,1,1,,2,0,
23,1,30,電話番号,1,1,,3,0,
24,1,32,住所,1,1,,4,0,
25,2,23,備考,0,0,,17,0,
26,2,34,予約枠備考,0,0,予約枠備考の説明文,12,0,
27,3,35,ビデオ会議主催者,0,0,,1,1,
28,3,36,ビデオ会議種別,0,0,,2,1,
29,3,37,ビデオ会議URL,0,0,,3,1,
30,3,38,ビデオ会議ID,0,0,,4,1,
31,3,39,ビデオ会議パスワード,0,0,,5,1,
32,1,40,有効期間,0,0,,10,1,
33,4,41,AkerunユーザーID,0,0,,1,1,2
