type,category,function,code,translate_key,name,word,word_default,multiple_row_flg,admin_flg
2,0,0,1,ERROR_ILLEGAL_TRANSITION,ERROR_ILLEGAL_TRANSITION,不正な遷移です,不正な遷移です,0,0
2,0,0,2,ERROR_NOT_EMPTY,ERROR_NOT_EMPTY,入力してください,入力してください,0,0
2,0,0,3,ERROR_NOT_EMPTY_SELECT,ERROR_NOT_EMPTY_SELECT,選択してください,選択してください,0,0
2,0,0,4,ERROR_MIN_LENGTH,ERROR_MIN_LENGTH,{0}文字以上で入力してください,{0}文字以上で入力してください,0,0
2,0,0,5,ERROR_MAX_LENGTH,ERROR_MAX_LENGTH,{0}文字以下で入力してください,{0}文字以下で入力してください,0,0
2,0,0,6,ERROR_INVALID_VALUE,ERROR_INVALID_VALUE,エラーが発生しました。ご確認ください。,エラーが発生しました。ご確認ください。,0,0
2,0,0,7,ERROR_NOT_SAME,ERROR_NOT_SAME,値が一致しません。,値が一致しません。,0,0
2,0,0,8,ERROR_DUPLICATION,ERROR_DUPLICATION,値が重複しています。,値が重複しています。,0,0
2,0,0,9,ERROR_IN_LIST,ERROR_IN_LIST,不正な値が選択されました,不正な値が選択されました,0,0
2,0,0,10,ERROR_MAIL_ADDRESS,ERROR_MAIL_ADDRESS,メールアドレスの形式で入力してください,メールアドレスの形式で入力してください,0,0
2,0,0,11,ERROR_DATE,ERROR_DATE,日付の形式で入力してください,日付の形式で入力してください,0,0
2,0,0,12,ERROR_DATE_TIME,ERROR_DATE_TIME,日時の形式で入力してください,日時の形式で入力してください,0,0
2,0,0,13,ERROR_TIME,ERROR_TIME,時間の形式で入力してください,時間の形式で入力してください,0,0
2,0,0,14,ERROR_NUMBER,ERROR_NUMBER,0以上の半角数字で入力してください,0以上の半角数字で入力してください,0,0
2,0,0,15,ERROR_NATURAL_NUMBER,ERROR_NATURAL_NUMBER,1以上の半角数字で入力してください,1以上の半角数字で入力してください,0,0
2,0,0,16,ERROR_CHANGE_USAGE_TIME,ERROR_CHANGE_USAGE_TIME,存在する予約時間外になるため、受付時間の変更ができません。,存在する予約時間外になるため、受付時間の変更ができません。,0,0
2,0,0,17,ERROR_LESS_THAN_FROM,ERROR_LESS_THAN_FROM,最小値より値が小さいため、より大きい値を入力してください,最小値より値が小さいため、より大きい値を入力してください,0,0
2,0,0,18,ERROR_GRATER_THAN_TO,ERROR_GRATER_THAN_TO,最大値より値が大きいため、より小さい値を入力してください,最大値より値が大きいため、より小さい値を入力してください,0,0
2,0,0,19,ERROR_MINIMUM_UNIT,ERROR_MINIMUM_UNIT,最小単位は5分以上の値で入力してください。,最小単位は5分以上の値で入力してください。,0,0
